"text","created","url","latitude","longitude","retweetCount","hashtag"
"<e2><80><98>Voter Integrity Project<e2><80><99> Releases Evidence of Thousands of Vote Fraud Issues <e2><80><93> Combined with Affidavits from Rudy<e2><80><a6> https://t.co/vjmG5lQK6U",2020-12-01 16:12:51,"https://twitter.com/WashingtonAdam7/status/1333806276468482052",NA,NA,0,"#trump2020"
"#Democrats possible ""President Elect"" LMAO <f0><9f><a4><aa> This is who they want running best country in the world (thanks 2 Trum<e2><80><a6> https://t.co/8tSq1la1js",2020-12-01 16:12:23,"https://twitter.com/boudoirby/status/1333806155408285696",NA,NA,0,"#trump2020"
"There is no evidence of voter fraud. Because it<e2><80><99>s not fraud it<e2><80><99>s treason. @realDonaldTrump #trump2020 #maga #WWG1WWA",2020-12-01 16:11:58,"https://twitter.com/LAWKi719/status/1333806052421160962",NA,NA,0,"#trump2020"
"@KamalaHarris @realDonaldTrump is already doing that, Thanks though! #TRUMP2020",2020-12-01 16:09:37,"https://twitter.com/Jennife47919209/status/1333805460911128576",NA,NA,0,"#trump2020"
"@RudyGiuliani Hear hear
FRAUD
@FBI @FBIAtlanta
@GovKemp 
@realDonaldTrump
@GaSecofState
 
@OANN

@foxandfriends<e2><80><a6> https://t.co/kIgb9Wl5mP",2020-12-01 16:09:36,"https://twitter.com/steveandrew2000/status/1333805457631309825",NA,NA,0,"#trump2020"
"Freedom over fear. The US must prevail with the RIGHT(FUL) President @realDonaldTrump at the helm. Otherwise, with<e2><80><a6> https://t.co/OV88jwzCO3",2020-12-01 16:08:47,"https://twitter.com/TweetArtists/status/1333805252139737091",NA,NA,0,"#trump2020"
"@journalsentinel Called strategy in place and this is the next step.  NOT LAST-DITCH.  Last ditch is Journal Sentin<e2><80><a6> https://t.co/Dj549mIgR9",2020-12-01 16:08:06,"https://twitter.com/JK83801873/status/1333805081515466759",NA,NA,0,"#trump2020"
"@KamalaHarris @JoeBiden @JoeBiden WILL NEVER BE MY PRESIDENT!!!!! #Trump2020",2020-12-01 16:06:57,"https://twitter.com/Jennife47919209/status/1333804789700857858",NA,NA,0,"#trump2020"
"Reasons why the 2020 presidential election is deeply puzzling: https://t.co/1aLSstPUum #StopTheSteal #KAG #TRUMP<e2><80><a6> https://t.co/0sZrN8lntl",2020-12-01 16:06:39,"https://twitter.com/NouvelleNom/status/1333804715201548293",NA,NA,0,"#trump2020"
"At the Michigan hearing,
finally a legislator asks:

""Where is the DOJ""?... then adds.. ""Very concerning""<e2><80><a6> https://t.co/gYmMLP5sBr",2020-12-01 16:06:38,"https://twitter.com/RealJohnSandor/status/1333804712102043654",NA,NA,1,"#trump2020"
"Live: Fed Chair Powell, Treasury Secretary Mnuchin testify on US economy https://t.co/hjvkLZCh3i via @YouTube #americafirst #trump2020 #maga",2020-12-01 16:06:17,"https://twitter.com/TrutherNow/status/1333804622847254528",NA,NA,0,"#trump2020"
"Captain America and the new frontier #fyp #foryourpage #trump2020 #trump #tiktok #viral #money #xrp #amazon<e2><80><a6> https://t.co/7W4FfHUh10",2020-12-01 16:04:21,"https://twitter.com/Dan_Dooling/status/1333804136123559936",NA,NA,0,"#trump2020"
"@realDonaldTrump @JoeBiden @KamalaHarris #Trump2020 #BidenHarris #FoxNews @FoxNews @nytimes @CNN @ABC7 

Mr Trump t<e2><80><a6> https://t.co/4NZtcyq9iv",2020-12-01 16:04:21,"https://twitter.com/liquidreality65/status/1333804135401963521",NA,NA,0,"#trump2020"
"@ditzkoff No Dave. I and millions and millions of Americans don<e2><80><99>t believe fake, hypocritical, communist loving <e2><80><9c>new<e2><80><a6> https://t.co/A933kZnz4e",2020-12-01 16:04:08,"https://twitter.com/thebrentloper/status/1333804080146378752",NA,NA,0,"#trump2020"
"realDonaldTrump: RT @RSBNetwork: Watch Live: Michigan State Senate Committee on Oversight Holds Hearing on Election<e2><80><a6> https://t.co/x5eUFjMTyr",2020-12-01 16:03:44,"https://twitter.com/Spinn360/status/1333803980271484930",NA,NA,0,"#trump2020"
"@FoxNews Its amazing the difference in the AZ and PA legislators versus MI. Most of these Michigan Senators are obv<e2><80><a6> https://t.co/HVI1Xg2EL0",2020-12-01 16:03:21,"https://twitter.com/AmyRenee1971/status/1333803885291577345",NA,NA,0,"#trump2020"
"@BrianKempGA WHAT ARE YOU HIDING besides the fact that you<e2><80><99>re a #CHEAT and a #RINO?? Do what<e2><80><99>s right, be a REAL pat<e2><80><a6> https://t.co/BpXpckas41",2020-12-01 16:03:20,"https://twitter.com/marytrece/status/1333803880497311755",NA,NA,0,"#trump2020"
"A NEW MulletClipping Video from Nov 18 2020 ""Trump University is Back in Session: 2 Week Review of Election Forecas<e2><80><a6> https://t.co/haRsxfPYiE",2020-12-01 16:02:44,"https://twitter.com/InfoMullet/status/1333803728986583040",NA,NA,1,"#trump2020"
